"cycle_length_bin","cycle_length_bin_num","cycleday_from_ovu","state","n_cycles","prob_sum","prob"
"(18,21]",2,0,"O",5879,1805.86634290026,0.307172366541973
"(18,21]",2,0,"Rise",5879,478.450220484033,0.0813829257499631
"(18,21]",2,0,"hP",5879,1279.7565022253,0.21768268450847
"(18,21]",2,0,"Ep",5879,273.359528109439,0.0464976234239563
"(18,21]",2,0,"lP",5879,48.044450330718,0.00817221471861167
"(18,21]",2,1,"hM",5879,0.037141875070837,6.31771986236385e-06
"(18,21]",2,1,"lM",5879,1.79346484312867,0.000305062909190113
"(18,21]",2,1,"lE",5879,511.751352451168,0.0870473469044341
"(18,21]",2,1,"hE",5879,504.955038328893,0.085891314565214
"(18,21]",2,1,"O",5879,975.985958452016,0.166012239913594
"(18,21]",2,1,"Rise",5879,657.016007896575,0.111756422503245
"(18,21]",2,1,"hP",5879,2624.07529800835,0.446347218576009
"(18,21]",2,1,"Ep",5879,502.664285032462,0.085501664404229
"(18,21]",2,1,"lP",5879,101.721453112352,0.0173025094594918
"(18,21]",2,2,"hM",5879,0.0164177242219069,2.79260490251861e-06
"(18,21]",2,2,"lM",5879,1.19661444329193,0.000203540473429483
"(18,21]",2,2,"lE",5879,298.13920276649,0.0507125706355655
"(18,21]",2,2,"hE",5879,281.97083087036,0.0479623798044497
"(18,21]",2,2,"O",5879,437.213931693898,0.0743687585803534
"(18,21]",2,2,"Rise",5879,349.13607451087,0.0593869832472989
"(18,21]",2,2,"hP",5879,3286.55191308327,0.559032473734184
"(18,21]",2,2,"Ep",5879,926.925537414003,0.157667211671033
"(18,21]",2,2,"lP",5879,284.849477493617,0.0484520288303482
"(18,21]",2,3,"hM",5879,0.00683832732134768,1.16317865646329e-06
"(18,21]",2,3,"lM",5879,0.725520796985687,0.000123408878548339
"(18,21]",2,3,"lE",5879,156.525791210789,0.0266245605053222
"(18,21]",2,3,"hE",5879,175.830039795582,0.0299081544132644
"(18,21]",2,3,"O",5879,248.234875673686,0.0422239965425559
"(18,21]",2,3,"Rise",5879,146.544471628949,0.0249267684349293
"(18,21]",2,3,"hP",5879,3158.07937097004,0.537179685485633
"(18,21]",2,3,"Ep",5879,1226.86132110772,0.208685375252206
"(18,21]",2,3,"lP",5879,679.191770488949,0.115528452200876
"(18,21]",2,4,"hM",5879,0.00123693820393464,2.10399422339623e-07
"(18,21]",2,4,"lM",5879,0.336761283597579,5.72820689909132e-05
"(18,21]",2,4,"lE",5879,73.0760537225005,0.0124300142409424
"(18,21]",2,4,"hE",5879,100.416744532488,0.0170805825025493
"(18,21]",2,4,"O",5879,159.257393653888,0.0270891977638864
"(18,21]",2,4,"Rise",5879,71.1235340224413,0.0120978965848684
"(18,21]",2,4,"hP",5879,2745.96936406795,0.467081028077555
"(18,21]",2,4,"Ep",5879,1282.14816305844,0.218089498734213
"(18,21]",2,4,"lP",5879,1132.67074872052,0.192663845674523
