"cycle_length_bin","cycleday_from_ovu","cycle_length_bin_num","state","prob","prob_sum","n_cycles"
"(30,33]",-13,6,"lM",0.410797192373213,2185.03026623312,5319
"(33,36]",-13,7,"lM",0.184675640488362,378.215711720165,2048
"(36,39]",-13,8,"lM",0.083498764066804,78.9898308071966,946
"(39,42]",-13,9,"lM",0.0692379116279035,34.480479990696,498
"(42,45]",-13,10,"lM",0.0831628457703987,24.4498766564972,294
"(18,21]",-12,2,"lM",0.0874624467390095,36.0345280564719,412
"(21,24]",-12,3,"lM",0.121194214158699,436.905142042109,3605
"(24,27]",-12,4,"lM",0.246539571807367,3319.40879481439,13464
"(27,30]",-12,5,"lM",0.432711459380613,5391.58478388244,12460
"(30,33]",-12,6,"lM",0.348447786805231,1853.39377801702,5319
"(33,36]",-12,7,"lM",0.134548121550551,275.554552935528,2048
"(36,39]",-12,8,"lM",0.0637767914355192,60.3328446980012,946
"(39,42]",-12,9,"lM",0.0776580065476202,38.6736872607149,498
"(42,45]",-12,10,"lM",0.0888314967557889,26.1164600462019,294
"(18,21]",-11,2,"lM",0.183413253007069,75.5662602389122,412
"(21,24]",-11,3,"lM",0.209813084320613,756.376168975808,3605
"(24,27]",-11,4,"lM",0.36168471053228,4869.72294260662,13464
"(27,30]",-11,5,"lM",0.448729610847842,5591.17095116412,12460
"(30,33]",-11,6,"lM",0.263111590714072,1399.49055100815,5319
"(33,36]",-11,7,"lM",0.108134483833282,221.459422890562,2048
"(36,39]",-11,8,"lM",0.0606780391988182,57.401425082082,946
"(39,42]",-11,9,"lM",0.0737195183277388,36.7123201272139,498
"(42,45]",-11,10,"lM",0.0903286361966184,26.5566190418058,294
"(18,21]",-10,2,"lM",0.268559095139004,110.64634719727,412
"(21,24]",-10,3,"lM",0.320461617078212,1155.26412956696,3605
"(24,27]",-10,4,"lM",0.445067665446687,5992.3910475742,13464
"(27,30]",-10,5,"lM",0.391176433491078,4874.05836129884,12460
"(30,33]",-10,6,"lM",0.17268164247624,918.493656331122,5319
"(33,36]",-10,7,"lM",0.0822158770267931,168.378116150872,2048
"(36,39]",-10,8,"lM",0.0585193964728256,55.359349063293,946
"(39,42]",-10,9,"lM",0.0581454573492245,28.9564377599138,498
"(42,45]",-10,10,"lM",0.0889074560408319,26.1387920760046,294
"(18,21]",-9,2,"lM",0.338728561645132,139.556167397794,412
"(21,24]",-9,3,"lM",0.41358030746862,1490.95700842438,3605
"(24,27]",-9,4,"lM",0.447160470998307,6020.56858152121,13464
"(27,30]",-9,5,"lM",0.282759491749174,3523.18326719471,12460
"(30,33]",-9,6,"lM",0.108759139510747,578.489863057665,5319
"(33,36]",-9,7,"lM",0.056256092855719,115.212478168513,2048
"(36,39]",-9,8,"lM",0.0499035409661787,47.2087497540051,946
"(39,42]",-9,9,"lM",0.0519861503450902,25.8891028718549,498
"(42,45]",-9,10,"lM",0.0726419849223997,21.3567435671855,294
"(18,21]",-8,2,"lM",0.379486800763644,156.348561914621,412
"(21,24]",-8,3,"lM",0.432310497578351,1558.47934376995,3605
"(24,27]",-8,4,"lM",0.360329784537005,4851.48021900623,13464
"(27,30]",-8,5,"lM",0.169425967956211,2111.04756073438,12460
"(30,33]",-8,6,"lM",0.0642658893362297,341.830265379406,5319
"(33,36]",-8,7,"lM",0.0399969351762708,81.9137232410027,2048
"(36,39]",-8,8,"lM",0.033268844159795,31.4723265751661,946
"(39,42]",-8,9,"lM",0.0398320431282566,19.8363574778718,498
"(42,45]",-8,10,"lM",0.0552563890405932,16.2453783779344,294
"(18,21]",-7,2,"lM",0.33695810386384,138.826738791902,412
"(21,24]",-7,3,"lM",0.368290130365586,1327.68591996794,3605
"(24,27]",-7,4,"lM",0.232410396838252,3129.17358303023,13464
"(27,30]",-7,5,"lM",0.0894862148987093,1114.99823763792,12460
"(30,33]",-7,6,"lM",0.0373597953672903,198.716751558617,5319
"(33,36]",-7,7,"lM",0.0300112748905501,61.4630909758466,2048
"(36,39]",-7,8,"lM",0.026830947046885,25.3820759063532,946
"(39,42]",-7,9,"lM",0.03133480359174,15.6047321886865,498
"(42,45]",-7,10,"lM",0.0439873810124422,12.932290017658,294
"(18,21]",-6,2,"lM",0.292874350435885,120.664232379585,412
"(21,24]",-6,3,"lM",0.251779508655249,907.665128702174,3605
"(24,27]",-6,4,"lM",0.122238585822138,1645.82031950927,13464
"(27,30]",-6,5,"lM",0.0417374655268335,520.048820464345,12460
"(30,33]",-6,6,"lM",0.0219587357706751,116.798515564221,5319
"(33,36]",-6,7,"lM",0.0219486731960203,44.9508827054496,2048
"(36,39]",-6,8,"lM",0.0153588340740299,14.5294570340322,946
"(39,42]",-6,9,"lM",0.0288311874606613,14.3579313554093,498
"(42,45]",-6,10,"lM",0.0296531556482924,8.71802776059798,294
"(18,21]",-5,2,"lM",0.201859414936259,83.1660789537385,412
"(21,24]",-5,3,"lM",0.12451583393355,448.879581330447,3605
"(24,27]",-5,4,"lM",0.0514445794038979,692.649817094082,13464
"(27,30]",-5,5,"lM",0.0177255473793321,220.860320346477,12460
"(30,33]",-5,6,"lM",0.0110456847205517,58.7519970286147,5319
"(33,36]",-5,7,"lM",0.0143726960495774,29.4352815095344,2048
"(36,39]",-5,8,"lM",0.0128290221983418,12.1362549996313,946
"(39,42]",-5,9,"lM",0.0228995670012484,11.4039843666217,498
"(42,45]",-5,10,"lM",0.0262940374258843,7.73044700320998,294
"(18,21]",-4,2,"lM",0.111686683167595,46.0149134650491,412
"(21,24]",-4,3,"lM",0.0425498440258181,153.392187713074,3605
"(24,27]",-4,4,"lM",0.0165022496094091,222.186288741083,13464
"(27,30]",-4,5,"lM",0.00696630355433442,86.8001422870069,12460
"(30,33]",-4,6,"lM",0.00461108347265073,24.5263529910292,5319
"(33,36]",-4,7,"lM",0.00874323095100762,17.9061369876636,2048
"(36,39]",-4,8,"lM",0.00897901147002459,8.49414485064326,946
"(39,42]",-4,9,"lM",0.0180049976074138,8.96648880849205,498
"(42,45]",-4,10,"lM",0.0209432818242322,6.15732485632428,294
"(18,21]",-3,2,"lM",0.0342752247064091,14.1213925790405,412
"(21,24]",-3,3,"lM",0.00910582982735078,32.8265165275996,3605
"(24,27]",-3,4,"lM",0.00328875895638678,44.2798505887916,13464
"(27,30]",-3,5,"lM",0.00197408822719195,24.5971393108117,12460
"(30,33]",-3,6,"lM",0.00125399222543717,6.66998464710028,5319
"(33,36]",-3,7,"lM",0.00488797446310743,10.010571700444,2048
"(36,39]",-3,8,"lM",0.00520640811627456,4.92526207799574,946
"(39,42]",-3,9,"lM",0.00700414133543357,3.48806238504592,498
"(42,45]",-3,10,"lM",0.00858855393994034,2.52503485834246,294
"(18,21]",-2,2,"lM",0.00182240428444158,0.750830565189932,412
"(21,24]",-2,3,"lM",0.00023545713534841,0.848822972931017,3605
"(24,27]",-2,4,"lM",0.000191135771353148,2.57345202549878,13464
"(27,30]",-2,5,"lM",0.000230929724960526,2.87738437300815,12460
"(30,33]",-2,6,"lM",0.000101256549531019,0.538583586955491,5319
"(33,36]",-2,7,"lM",0.000729915837253198,1.49486763469455,2048
"(36,39]",-2,8,"lM",0.0010605673588724,1.00329672149329,946
"(39,42]",-2,9,"lM",0.0017863250798184,0.889589889749566,498
"(42,45]",-2,10,"lM",0.00126502549111468,0.371917494387717,294
"(18,21]",-1,2,"lM",0.000416229264887293,0.171486457133565,412
"(21,24]",-1,3,"lM",5.94306831059981e-05,0.214247612597123,3605
"(24,27]",-1,4,"lM",2.3483766711943e-05,0.316185435009601,13464
"(27,30]",-1,5,"lM",0.00010493167289275,1.30744864424366,12460
